2025-01-13 12:23:06.996, Program Started
2025-01-13 12:23:07.129, .226000
2025-01-13 12:23:24.384, Y Accel:, 16.165000
2025-01-13 12:23:24.456, Z Accel:, 1019.920000
2025-01-13 12:23:24.516, X Accel:, -1.037000
2025-01-13 12:23:24.582, Y Accel:, 15.799000
2025-01-13 12:23:24.654, Z Accel:, 1022.055000
2025-01-13 12:23:24.716, X Accel:, -1.281000
2025-01-13 12:23:24.782, Y Accel:, 16.592000
2025-01-13 12:23:24.848, Z Accel:, -7.198000
2025-01-13 12:23:24.909, X Accel:, -1.586000
2025-01-13 12:23:24.974, Y Accel:, 16.348000
2025-01-13 12:23:25.047, Z Accel:, 1020.225000
2025-01-13 12:23:25.115, X Accel:, -15.555000
2025-01-13 12:23:25.175, Y Accel:, 17.019000
2025-01-13 12:23:25.248, Z Accel:, 1021.933000
2025-01-13 12:23:25.314, X Accel:, -0.427000
2025-01-13 12:23:25.374, Y Accel:, 18.178000
2025-01-13 12:23:25.445, Z Accel:, 1021.994000
2025-01-13 12:23:25.514, X Accel:, -15.067000
2025-01-13 12:23:25.581, Y Accel:, 17.995000
2025-01-13 12:23:25.648, Z Accel:, 1020.164000
2025-01-13 12:23:25.714, X Accel:, -1.403000
2025-01-13 12:23:25.781, Y Accel:, 16.470000
2025-01-13 12:23:25.848, Z Accel:, 1021.689000
2025-01-13 12:23:25.914, X Accel:, -1.403000
2025-01-13 12:23:25.980, Y Accel:, -0.183000
2025-01-13 12:23:26.053, Z Accel:, 1019.188000
2025-01-13 12:23:26.114, X Accel:, -1.159000
2025-01-13 12:23:26.180, Y Accel:, 17.324000
2025-01-13 12:23:26.253, Z Accel:, 1021.140000
2025-01-13 12:23:26.312, X Accel:, -2.013000
2025-01-13 12:23:26.379, Y Accel:, 16.897000
2025-01-13 12:23:26.451, Z Accel:, 1019.493000
2025-01-13 12:23:26.518, X Accel:, -4.331000
2025-01-13 12:23:26.579, Y Accel:, 16.531000
2025-01-13 12:23:26.644, Z Accel:, -7.076000
2025-01-13 12:23:26.711, X Accel:, -4.758000
2025-01-13 12:23:26.771, Y Accel:, -0.854000
2025-01-13 12:23:26.844, Z Accel:, 1021.994000
2025-01-13 12:23:26.910, X Accel:, -6.100000
2025-01-13 12:23:26.971, Y Accel:, 16.409000
2025-01-13 12:23:27.042, Z Accel:, 1022.482000
2025-01-13 12:23:27.108, X Accel:, -5.795000
2025-01-13 12:23:27.174, Y Accel:, 17.995000
2025-01-13 12:23:27.241, Z Accel:, 1020.896000
2025-01-13 12:23:27.307, X Accel:, -6.344000
2025-01-13 12:23:27.372, Y Accel:, 16.470000
2025-01-13 12:23:27.433, Z Accel:, -6.527000
2025-01-13 12:23:27.499, X Accel:, -6.405000
2025-01-13 12:23:27.564, Y Accel:, 16.714000
2025-01-13 12:23:27.631, Z Accel:, 1021.140000
2025-01-13 12:23:27.697, X Accel:, -7.625000
2025-01-13 12:23:27.763, Y Accel:, 16.592000
2025-01-13 12:23:27.835, Z Accel:, 1021.994000
2025-01-13 12:23:27.894, X Accel:, -5.551000
2025-01-13 12:23:27.961, Y Accel:, 16.836000
2025-01-13 12:23:28.034, Z Accel:, 1019.127000
2025-01-13 12:23:28.094, X Accel:, -4.758000
2025-01-13 12:23:28.159, Y Accel:, 16.043000
2025-01-13 12:23:28.225, Z Accel:, -7.076000
2025-01-13 12:23:28.285, X Accel:, -3.599000
2025-01-13 12:23:28.352, Y Accel:, 15.860000
2025-01-13 12:23:28.418, Z Accel:, -5.856000
2025-01-13 12:23:28.483, X Accel:, -3.355000
2025-01-13 12:23:28.544, Y Accel:, -0.427000
2025-01-13 12:23:28.616, Z Accel:, 1019.737000
2025-01-13 12:23:28.682, X Accel:, -4.026000
2025-01-13 12:23:28.742, Y Accel:, 18.361000
2025-01-13 12:23:28.814, Z Accel:, 1019.188000
2025-01-13 12:23:28.880, X Accel:, -4.148000
2025-01-13 12:23:28.946, Y Accel:, 19.093000
2025-01-13 12:23:29.012, Z Accel:, 1020.347000
2025-01-13 12:23:29.078, X Accel:, -2.684000
2025-01-13 12:23:29.144, Y Accel:, 18.361000
2025-01-13 12:23:29.204, Z Accel:, -5.429000
2025-01-13 12:23:29.270, X Accel:, -2.623000
2025-01-13 12:23:29.336, Y Accel:, 16.897000
2025-01-13 12:23:29.402, Z Accel:, 1022.360000
2025-01-13 12:23:29.468, X Accel:, -1.098000
2025-01-13 12:23:29.534, Y Accel:, 17.141000
2025-01-13 12:23:29.606, Z Accel:, 1021.201000
2025-01-13 12:23:29.669, X Accel:, -14.640000
2025-01-13 12:23:29.735, Y Accel:, 18.300000
2025-01-13 12:23:29.807, Z Accel:, 1019.859000
2025-01-13 12:23:29.870, X Accel:, -15.189000
2025-01-13 12:23:29.936, Y Accel:, 20.557000
2025-01-13 12:23:30.008, Z Accel:, 1020.835000
2025-01-13 12:23:30.077, X Accel:, -13.725000
2025-01-13 12:23:30.138, Y Accel:, 19.642000
2025-01-13 12:23:30.210, Z Accel:, 1021.201000
2025-01-13 12:23:30.279, X Accel:, -14.396000
2025-01-13 12:23:30.339, Y Accel:, 19.764000
2025-01-13 12:23:30.411, Z Accel:, 1021.140000
2025-01-13 12:23:30.480, X Accel:, -14.579000
2025-01-13 12:23:30.546, Y Accel:, 20.374000
2025-01-13 12:23:30.612, Z Accel:, 1018.944000
2025-01-13 12:23:30.682, X Accel:, -13.786000
2025-01-13 12:23:30.748, Y Accel:, 17.873000
2025-01-13 12:23:30.819, Z Accel:, 1020.530000
2025-01-13 12:23:30.879, X Accel:, -0.671000
2025-01-13 12:23:30.945, Y Accel:, -0.366000
2025-01-13 12:23:31.018, Z Accel:, 1020.896000
2025-01-13 12:23:31.078, X Accel:, -0.549000
2025-01-13 12:23:31.144, Y Accel:, 20.313000
2025-01-13 12:23:31.210, Z Accel:, -6.832000
2025-01-13 12:23:31.272, X Accel:, -14.396000
2025-01-13 12:23:31.339, Y Accel:, 18.727000
2025-01-13 12:23:31.405, Z Accel:, -7.808000
2025-01-13 12:23:31.468, X Accel:, -15.311000
2025-01-13 12:23:31.534, Y Accel:, 18.300000
2025-01-13 12:23:31.605, Z Accel:, 1020.042000
2025-01-13 12:23:31.666, X Accel:, -0.061000
2025-01-13 12:23:31.732, Y Accel:, -0.427000
2025-01-13 12:23:31.798, Z Accel:, -7.747000
2025-01-13 12:23:31.864, X Accel:, -2.135000
2025-01-13 12:23:31.924, Y Accel:, 17.751000
2025-01-13 12:23:31.997, Z Accel:, 1015.833000
2025-01-13 12:23:32.063, X Accel:, -1.403000
2025-01-13 12:23:32.123, Y Accel:, -0.427000
2025-01-13 12:23:32.189, Z Accel:, -3.721000
2025-01-13 12:23:32.255, X Accel:, -3.782000
2025-01-13 12:23:32.315, Y Accel:, -1.342000
2025-01-13 12:23:32.381, Z Accel:, -6.649000
2025-01-13 12:23:32.447, X Accel:, -4.331000
2025-01-13 12:23:32.507, Y Accel:, 17.446000
2025-01-13 12:23:32.573, Z Accel:, -3.477000
2025-01-13 12:23:32.640, X Accel:, -6.039000
2025-01-13 12:23:32.706, Y Accel:, 18.300000
2025-01-13 12:23:32.766, Z Accel:, -5.002000
2025-01-13 12:23:32.832, X Accel:, -6.710000
2025-01-13 12:23:32.898, Y Accel:, -2.013000
2025-01-13 12:23:32.958, Z Accel:, -4.148000
2025-01-13 12:23:33.024, X Accel:, -7.503000
2025-01-13 12:23:33.091, Y Accel:, -5.246000
2025-01-13 12:23:33.157, Z Accel:, 1021.933000
2025-01-13 12:23:33.224, X Accel:, -6.893000
2025-01-13 12:23:33.290, Y Accel:, 17.873000
2025-01-13 12:23:33.358, Z Accel:, -7.076000
2025-01-13 12:23:33.422, X Accel:, -26.108000
2025-01-13 12:23:33.489, Y Accel:, -1.037000
